product_type,tenor,disb_month_adj,wo_claw_adj
SPL,1,1/31/2023,7/31/2022
SPL,1,1/31/2023,8/31/2022
SPL,1,1/31/2023,9/30/2022
SPL,1,1/31/2023,10/31/2022
SPL,1,1/31/2023,11/30/2022
SPL,1,1/31/2023,12/31/2022
SPL,1,1/31/2023,1/31/2023
SPL,1,1/31/2023,2/28/2023
SPL,1,1/31/2023,3/31/2023
SPL,1,1/31/2023,4/30/2023
SPL,1,1/31/2023,5/31/2023
SPL,1,1/31/2023,6/30/2023
SPL,1,1/31/2023,7/31/2023
SPL,1,1/31/2023,8/31/2023
SPL,1,1/31/2023,9/30/2023
SPL,1,1/31/2023,10/31/2023
SPL,1,1/31/2023,11/30/2023
SPL,1,1/31/2023,12/31/2023
SPL,1,1/31/2023,1/31/2024
SPL,1,1/31/2023,2/29/2024
SPL,1,1/31/2023,3/31/2024
SPL,1,1/31/2023,4/30/2024
SPL,1,1/31/2023,5/31/2024
SPL,1,2/28/2023,6/30/2021
SPL,1,2/28/2023,7/31/2021
SPL,1,2/28/2023,8/31/2021
SPL,1,2/28/2023,9/30/2021
SPL,1,2/28/2023,10/31/2021
SPL,1,2/28/2023,11/30/2021
SPL,1,2/28/2023,12/31/2021
SPL,1,2/28/2023,1/31/2022
SPL,1,2/28/2023,2/28/2022
SPL,1,2/28/2023,3/31/2022
SPL,1,2/28/2023,4/30/2022
SPL,1,2/28/2023,5/31/2022
SPL,1,2/28/2023,6/30/2022
SPL,1,2/28/2023,7/31/2022
SPL,1,2/28/2023,8/31/2022
SPL,1,2/28/2023,9/30/2022
SPL,1,2/28/2023,10/31/2022
SPL,1,2/28/2023,11/30/2022
SPL,1,2/28/2023,12/31/2022
SPL,1,2/28/2023,1/31/2023
SPL,1,2/28/2023,2/28/2023
SPL,1,2/28/2023,3/31/2023
SPL,1,2/28/2023,4/30/2023
SPL,1,2/28/2023,5/31/2023
SPL,1,2/28/2023,6/30/2023
SPL,1,2/28/2023,7/31/2023
SPL,1,2/28/2023,8/31/2023
SPL,1,2/28/2023,9/30/2023
SPL,1,2/28/2023,10/31/2023
SPL,1,2/28/2023,11/30/2023
SPL,1,2/28/2023,12/31/2023
SPL,1,2/28/2023,1/31/2024
SPL,1,2/28/2023,2/29/2024
SPL,1,2/28/2023,3/31/2024
SPL,1,2/28/2023,4/30/2024
SPL,1,2/28/2023,5/31/2024
SPL,1,3/31/2023,6/30/2021
SPL,1,3/31/2023,7/31/2021
SPL,1,3/31/2023,8/31/2021
SPL,1,3/31/2023,9/30/2021
SPL,1,3/31/2023,10/31/2021
SPL,1,3/31/2023,11/30/2021
SPL,1,3/31/2023,12/31/2021
SPL,1,3/31/2023,1/31/2022
SPL,1,3/31/2023,2/28/2022
SPL,1,3/31/2023,3/31/2022
SPL,1,3/31/2023,4/30/2022
SPL,1,3/31/2023,5/31/2022
SPL,1,3/31/2023,6/30/2022
SPL,1,3/31/2023,7/31/2022
SPL,1,3/31/2023,8/31/2022
SPL,1,3/31/2023,9/30/2022
SPL,1,3/31/2023,10/31/2022
SPL,1,3/31/2023,11/30/2022
SPL,1,3/31/2023,12/31/2022
SPL,1,3/31/2023,1/31/2023
SPL,1,3/31/2023,2/28/2023
SPL,1,3/31/2023,3/31/2023
SPL,1,3/31/2023,4/30/2023
SPL,1,3/31/2023,5/31/2023
SPL,1,3/31/2023,6/30/2023
SPL,1,3/31/2023,7/31/2023
SPL,1,3/31/2023,8/31/2023
SPL,1,3/31/2023,9/30/2023
SPL,1,3/31/2023,10/31/2023
SPL,1,3/31/2023,11/30/2023
SPL,1,3/31/2023,12/31/2023
SPL,1,3/31/2023,1/31/2024
SPL,1,3/31/2023,2/29/2024
SPL,1,3/31/2023,3/31/2024
SPL,1,3/31/2023,4/30/2024
SPL,1,3/31/2023,5/31/2024
SPL,1,4/30/2023,6/30/2021
SPL,1,4/30/2023,7/31/2021
SPL,1,4/30/2023,8/31/2021
SPL,1,4/30/2023,9/30/2021
SPL,1,4/30/2023,10/31/2021
SPL,1,4/30/2023,11/30/2021
SPL,1,4/30/2023,12/31/2021
SPL,1,4/30/2023,1/31/2022
SPL,1,4/30/2023,2/28/2022
SPL,1,4/30/2023,3/31/2022
SPL,1,4/30/2023,4/30/2022
SPL,1,4/30/2023,5/31/2022
SPL,1,4/30/2023,6/30/2022
SPL,1,4/30/2023,7/31/2022
SPL,1,4/30/2023,8/31/2022
SPL,1,4/30/2023,9/30/2022
SPL,1,4/30/2023,10/31/2022
SPL,1,4/30/2023,11/30/2022
SPL,1,4/30/2023,12/31/2022
SPL,1,4/30/2023,1/31/2023
SPL,1,4/30/2023,2/28/2023
SPL,1,4/30/2023,3/31/2023
SPL,1,4/30/2023,4/30/2023
SPL,1,4/30/2023,5/31/2023
SPL,1,4/30/2023,6/30/2023
SPL,1,4/30/2023,7/31/2023
SPL,1,4/30/2023,8/31/2023
SPL,1,4/30/2023,9/30/2023
SPL,1,4/30/2023,10/31/2023
SPL,1,4/30/2023,11/30/2023
SPL,1,4/30/2023,12/31/2023
SPL,1,4/30/2023,1/31/2024
SPL,1,4/30/2023,2/29/2024
SPL,1,4/30/2023,3/31/2024
SPL,1,4/30/2023,4/30/2024
SPL,1,4/30/2023,5/31/2024
SPL,1,5/31/2023,6/30/2021
SPL,1,5/31/2023,7/31/2021
SPL,1,5/31/2023,8/31/2021
SPL,1,5/31/2023,9/30/2021
SPL,1,5/31/2023,10/31/2021
SPL,1,5/31/2023,11/30/2021
SPL,1,5/31/2023,12/31/2021
SPL,1,5/31/2023,1/31/2022
SPL,1,5/31/2023,2/28/2022
SPL,1,5/31/2023,3/31/2022
SPL,1,5/31/2023,4/30/2022
SPL,1,5/31/2023,5/31/2022
SPL,1,5/31/2023,6/30/2022
SPL,1,5/31/2023,7/31/2022
SPL,1,5/31/2023,8/31/2022
SPL,1,5/31/2023,9/30/2022
SPL,1,5/31/2023,10/31/2022
SPL,1,5/31/2023,11/30/2022
SPL,1,5/31/2023,12/31/2022
SPL,1,5/31/2023,1/31/2023
SPL,1,5/31/2023,2/28/2023
SPL,1,5/31/2023,3/31/2023
SPL,1,5/31/2023,4/30/2023
SPL,1,5/31/2023,5/31/2023
SPL,1,5/31/2023,6/30/2023
SPL,1,5/31/2023,7/31/2023
SPL,1,5/31/2023,8/31/2023
SPL,1,5/31/2023,9/30/2023
SPL,1,5/31/2023,10/31/2023
SPL,1,5/31/2023,11/30/2023
SPL,1,5/31/2023,12/31/2023
SPL,1,5/31/2023,1/31/2024
SPL,1,5/31/2023,2/29/2024
SPL,1,5/31/2023,3/31/2024
SPL,1,5/31/2023,4/30/2024
SPL,1,5/31/2023,5/31/2024
SPL,1,6/30/2023,6/30/2021
SPL,1,6/30/2023,7/31/2021
SPL,1,6/30/2023,8/31/2021
SPL,1,6/30/2023,9/30/2021
SPL,1,6/30/2023,10/31/2021
SPL,1,6/30/2023,11/30/2021
SPL,1,6/30/2023,12/31/2021
SPL,1,6/30/2023,1/31/2022
SPL,1,6/30/2023,2/28/2022
SPL,1,6/30/2023,3/31/2022
SPL,1,6/30/2023,4/30/2022
SPL,1,6/30/2023,5/31/2022
SPL,1,6/30/2023,6/30/2022
SPL,1,6/30/2023,7/31/2022
SPL,1,6/30/2023,8/31/2022
SPL,1,6/30/2023,9/30/2022
SPL,1,6/30/2023,10/31/2022
SPL,1,6/30/2023,11/30/2022
SPL,1,6/30/2023,12/31/2022
SPL,1,6/30/2023,1/31/2023
SPL,1,6/30/2023,2/28/2023
SPL,1,6/30/2023,3/31/2023
SPL,1,6/30/2023,4/30/2023
SPL,1,6/30/2023,5/31/2023
SPL,1,6/30/2023,6/30/2023
SPL,1,6/30/2023,7/31/2023
SPL,1,6/30/2023,8/31/2023
SPL,1,6/30/2023,9/30/2023
SPL,1,6/30/2023,10/31/2023
SPL,1,6/30/2023,11/30/2023
SPL,1,6/30/2023,12/31/2023
SPL,1,6/30/2023,1/31/2024
SPL,1,6/30/2023,2/29/2024
SPL,1,6/30/2023,3/31/2024
SPL,1,6/30/2023,4/30/2024
SPL,1,6/30/2023,5/31/2024
SPL,1,7/31/2023,6/30/2021
SPL,1,7/31/2023,7/31/2021
SPL,1,7/31/2023,8/31/2021
SPL,1,7/31/2023,9/30/2021
SPL,1,7/31/2023,10/31/2021
SPL,1,7/31/2023,11/30/2021
SPL,1,7/31/2023,12/31/2021
SPL,1,7/31/2023,1/31/2022
SPL,1,7/31/2023,2/28/2022
SPL,1,7/31/2023,3/31/2022
SPL,1,7/31/2023,4/30/2022
SPL,1,7/31/2023,5/31/2022
SPL,1,7/31/2023,6/30/2022
SPL,1,7/31/2023,7/31/2022
SPL,1,7/31/2023,8/31/2022
SPL,1,7/31/2023,9/30/2022
SPL,1,7/31/2023,10/31/2022
SPL,1,7/31/2023,11/30/2022
SPL,1,7/31/2023,12/31/2022
SPL,1,7/31/2023,1/31/2023
SPL,1,7/31/2023,2/28/2023
SPL,1,7/31/2023,3/31/2023
SPL,1,7/31/2023,4/30/2023
SPL,1,7/31/2023,5/31/2023
SPL,1,7/31/2023,6/30/2023
SPL,1,7/31/2023,7/31/2023
SPL,1,7/31/2023,8/31/2023
SPL,1,7/31/2023,9/30/2023
SPL,1,7/31/2023,10/31/2023
SPL,1,7/31/2023,11/30/2023
SPL,1,7/31/2023,12/31/2023
SPL,1,7/31/2023,1/31/2024
SPL,1,7/31/2023,2/29/2024
SPL,1,7/31/2023,3/31/2024
SPL,1,7/31/2023,4/30/2024
SPL,1,7/31/2023,5/31/2024
SPL,1,8/31/2023,6/30/2021
SPL,1,8/31/2023,7/31/2021
SPL,1,8/31/2023,8/31/2021
SPL,1,8/31/2023,9/30/2021
SPL,1,8/31/2023,10/31/2021
SPL,1,8/31/2023,11/30/2021
SPL,1,8/31/2023,12/31/2021
SPL,1,8/31/2023,1/31/2022
SPL,1,8/31/2023,2/28/2022
SPL,1,8/31/2023,3/31/2022
SPL,1,8/31/2023,4/30/2022
SPL,1,8/31/2023,5/31/2022
SPL,1,8/31/2023,6/30/2022
SPL,1,8/31/2023,7/31/2022
SPL,1,8/31/2023,8/31/2022
SPL,1,8/31/2023,9/30/2022
SPL,1,8/31/2023,10/31/2022
SPL,1,8/31/2023,11/30/2022
SPL,1,8/31/2023,12/31/2022
SPL,1,8/31/2023,1/31/2023
SPL,1,8/31/2023,2/28/2023
SPL,1,8/31/2023,3/31/2023
SPL,1,8/31/2023,4/30/2023
SPL,1,8/31/2023,5/31/2023
SPL,1,8/31/2023,6/30/2023
SPL,1,8/31/2023,7/31/2023
SPL,1,8/31/2023,8/31/2023
SPL,1,8/31/2023,9/30/2023
SPL,1,8/31/2023,10/31/2023
SPL,1,8/31/2023,11/30/2023
SPL,1,8/31/2023,12/31/2023
SPL,1,8/31/2023,1/31/2024
SPL,1,8/31/2023,2/29/2024
SPL,1,8/31/2023,3/31/2024
SPL,1,8/31/2023,4/30/2024
SPL,1,8/31/2023,5/31/2024
SPL,1,9/30/2023,6/30/2021
SPL,1,9/30/2023,7/31/2021
SPL,1,9/30/2023,8/31/2021
SPL,1,9/30/2023,9/30/2021
SPL,1,9/30/2023,10/31/2021
SPL,1,9/30/2023,11/30/2021
SPL,1,9/30/2023,12/31/2021
SPL,1,9/30/2023,1/31/2022
SPL,1,9/30/2023,2/28/2022
SPL,1,9/30/2023,3/31/2022
SPL,1,9/30/2023,4/30/2022
SPL,1,9/30/2023,5/31/2022
SPL,1,9/30/2023,6/30/2022
SPL,1,9/30/2023,7/31/2022
SPL,1,9/30/2023,8/31/2022
SPL,1,9/30/2023,9/30/2022
SPL,1,9/30/2023,10/31/2022
SPL,1,9/30/2023,11/30/2022
SPL,1,9/30/2023,12/31/2022
SPL,1,9/30/2023,1/31/2023
SPL,1,9/30/2023,2/28/2023
SPL,1,9/30/2023,3/31/2023
SPL,1,9/30/2023,4/30/2023
SPL,1,9/30/2023,5/31/2023
SPL,1,9/30/2023,6/30/2023
SPL,1,9/30/2023,7/31/2023
SPL,1,9/30/2023,8/31/2023
SPL,1,9/30/2023,9/30/2023
SPL,1,9/30/2023,10/31/2023
SPL,1,9/30/2023,11/30/2023
SPL,1,9/30/2023,12/31/2023
SPL,1,9/30/2023,1/31/2024
SPL,1,9/30/2023,2/29/2024
SPL,1,9/30/2023,3/31/2024
SPL,1,9/30/2023,4/30/2024
SPL,1,9/30/2023,5/31/2024
SPL,1,10/31/2023,6/30/2021
SPL,1,10/31/2023,7/31/2021
SPL,1,10/31/2023,8/31/2021
SPL,1,10/31/2023,9/30/2021
SPL,1,10/31/2023,10/31/2021
SPL,1,10/31/2023,11/30/2021
SPL,1,10/31/2023,12/31/2021
SPL,1,10/31/2023,1/31/2022
SPL,1,10/31/2023,2/28/2022
SPL,1,10/31/2023,3/31/2022
SPL,1,10/31/2023,4/30/2022
SPL,1,10/31/2023,5/31/2022
SPL,1,10/31/2023,6/30/2022
SPL,1,10/31/2023,7/31/2022
SPL,1,10/31/2023,8/31/2022
SPL,1,10/31/2023,9/30/2022
SPL,1,10/31/2023,10/31/2022
SPL,1,10/31/2023,11/30/2022
SPL,1,10/31/2023,12/31/2022
SPL,1,10/31/2023,1/31/2023
SPL,1,10/31/2023,2/28/2023
SPL,1,10/31/2023,3/31/2023
SPL,1,10/31/2023,4/30/2023
SPL,1,10/31/2023,5/31/2023
SPL,1,10/31/2023,6/30/2023
SPL,1,10/31/2023,7/31/2023
SPL,1,10/31/2023,8/31/2023
SPL,1,10/31/2023,9/30/2023
SPL,1,10/31/2023,10/31/2023
SPL,1,10/31/2023,11/30/2023
SPL,1,10/31/2023,12/31/2023
SPL,1,10/31/2023,1/31/2024
SPL,1,10/31/2023,2/29/2024
SPL,1,10/31/2023,3/31/2024
SPL,1,10/31/2023,4/30/2024
SPL,1,10/31/2023,5/31/2024
SPL,1,11/30/2023,6/30/2021
SPL,1,11/30/2023,7/31/2021
SPL,1,11/30/2023,8/31/2021
SPL,1,11/30/2023,9/30/2021
SPL,1,11/30/2023,10/31/2021
SPL,1,11/30/2023,11/30/2021
SPL,1,11/30/2023,12/31/2021
SPL,1,11/30/2023,1/31/2022
SPL,1,11/30/2023,2/28/2022
SPL,1,11/30/2023,3/31/2022
SPL,1,11/30/2023,4/30/2022
SPL,1,11/30/2023,5/31/2022
SPL,1,11/30/2023,6/30/2022
SPL,1,11/30/2023,7/31/2022
SPL,1,11/30/2023,8/31/2022
SPL,1,11/30/2023,9/30/2022
SPL,1,11/30/2023,10/31/2022
SPL,1,11/30/2023,11/30/2022
SPL,1,11/30/2023,12/31/2022
SPL,1,11/30/2023,1/31/2023
SPL,1,11/30/2023,2/28/2023
SPL,1,11/30/2023,3/31/2023
SPL,1,11/30/2023,4/30/2023
SPL,1,11/30/2023,5/31/2023
SPL,1,11/30/2023,6/30/2023
SPL,1,11/30/2023,7/31/2023
SPL,1,11/30/2023,8/31/2023
SPL,1,11/30/2023,9/30/2023
SPL,1,11/30/2023,10/31/2023
SPL,1,11/30/2023,11/30/2023
SPL,1,11/30/2023,12/31/2023
SPL,1,11/30/2023,1/31/2024
SPL,1,11/30/2023,2/29/2024
SPL,1,11/30/2023,3/31/2024
SPL,1,11/30/2023,4/30/2024
SPL,1,11/30/2023,5/31/2024
SPL,1,12/31/2023,6/30/2021
SPL,1,12/31/2023,7/31/2021
SPL,1,12/31/2023,8/31/2021
SPL,1,12/31/2023,9/30/2021
SPL,1,12/31/2023,10/31/2021
SPL,1,12/31/2023,11/30/2021
SPL,1,12/31/2023,12/31/2021
SPL,1,12/31/2023,1/31/2022
SPL,1,12/31/2023,2/28/2022
SPL,1,12/31/2023,3/31/2022
SPL,1,12/31/2023,4/30/2022
SPL,1,12/31/2023,5/31/2022
SPL,1,12/31/2023,6/30/2022
SPL,1,12/31/2023,7/31/2022
SPL,1,12/31/2023,8/31/2022
SPL,1,12/31/2023,9/30/2022
SPL,1,12/31/2023,10/31/2022
SPL,1,12/31/2023,11/30/2022
SPL,1,12/31/2023,12/31/2022
SPL,1,12/31/2023,1/31/2023
SPL,1,12/31/2023,2/28/2023
SPL,1,12/31/2023,3/31/2023
SPL,1,12/31/2023,4/30/2023
SPL,1,12/31/2023,5/31/2023
SPL,1,12/31/2023,6/30/2023
SPL,1,12/31/2023,7/31/2023
SPL,1,12/31/2023,8/31/2023
SPL,1,12/31/2023,9/30/2023
SPL,1,12/31/2023,10/31/2023
SPL,1,12/31/2023,11/30/2023
SPL,1,12/31/2023,12/31/2023
SPL,1,12/31/2023,1/31/2024
SPL,1,12/31/2023,2/29/2024
SPL,1,12/31/2023,3/31/2024
SPL,1,12/31/2023,4/30/2024
SPL,1,12/31/2023,5/31/2024
SPL,1,1/31/2024,6/30/2021
SPL,1,1/31/2024,7/31/2021
SPL,1,1/31/2024,8/31/2021
SPL,1,1/31/2024,9/30/2021
SPL,1,1/31/2024,10/31/2021
SPL,1,1/31/2024,11/30/2021
SPL,1,1/31/2024,12/31/2021
SPL,1,1/31/2024,1/31/2022
SPL,1,1/31/2024,2/28/2022
SPL,1,1/31/2024,3/31/2022
SPL,1,1/31/2024,4/30/2022
SPL,1,1/31/2024,5/31/2022
SPL,1,1/31/2024,6/30/2022
SPL,1,1/31/2024,7/31/2022
SPL,1,1/31/2024,8/31/2022
SPL,1,1/31/2024,9/30/2022
SPL,1,1/31/2024,10/31/2022
SPL,1,1/31/2024,11/30/2022
SPL,1,1/31/2024,12/31/2022
SPL,1,1/31/2024,1/31/2023
SPL,1,1/31/2024,2/28/2023
SPL,1,1/31/2024,3/31/2023
SPL,1,1/31/2024,4/30/2023
SPL,1,1/31/2024,5/31/2023
SPL,1,1/31/2024,6/30/2023
SPL,1,1/31/2024,7/31/2023
SPL,1,1/31/2024,8/31/2023
SPL,1,1/31/2024,9/30/2023
SPL,1,1/31/2024,10/31/2023
SPL,1,1/31/2024,11/30/2023
SPL,1,1/31/2024,12/31/2023
SPL,1,1/31/2024,1/31/2024
SPL,1,1/31/2024,2/29/2024
SPL,1,1/31/2024,3/31/2024
SPL,1,1/31/2024,4/30/2024
SPL,1,1/31/2024,5/31/2024
SPL,1,2/29/2024,6/30/2021
SPL,1,2/29/2024,7/31/2021
SPL,1,2/29/2024,8/31/2021
SPL,1,2/29/2024,9/30/2021
SPL,1,2/29/2024,10/31/2021
SPL,1,2/29/2024,11/30/2021
SPL,1,2/29/2024,12/31/2021
SPL,1,2/29/2024,1/31/2022
SPL,1,2/29/2024,2/28/2022
SPL,1,2/29/2024,3/31/2022
SPL,1,2/29/2024,4/30/2022
SPL,1,2/29/2024,5/31/2022
SPL,1,2/29/2024,6/30/2022
SPL,1,2/29/2024,7/31/2022
SPL,1,2/29/2024,8/31/2022
SPL,1,2/29/2024,9/30/2022
SPL,1,2/29/2024,10/31/2022
SPL,1,2/29/2024,11/30/2022
SPL,1,2/29/2024,12/31/2022
SPL,1,2/29/2024,1/31/2023
SPL,1,2/29/2024,2/28/2023
SPL,1,2/29/2024,3/31/2023
SPL,1,2/29/2024,4/30/2023
SPL,1,2/29/2024,5/31/2023
SPL,1,2/29/2024,6/30/2023
SPL,1,2/29/2024,7/31/2023
SPL,1,2/29/2024,8/31/2023
SPL,1,2/29/2024,9/30/2023
SPL,1,2/29/2024,10/31/2023
SPL,1,2/29/2024,11/30/2023
SPL,1,2/29/2024,12/31/2023
SPL,1,2/29/2024,1/31/2024
SPL,1,2/29/2024,2/29/2024
SPL,1,2/29/2024,3/31/2024
SPL,1,2/29/2024,4/30/2024
SPL,1,2/29/2024,5/31/2024
SPL,1,3/31/2024,6/30/2021
SPL,1,3/31/2024,7/31/2021
SPL,1,3/31/2024,8/31/2021
SPL,1,3/31/2024,9/30/2021
SPL,1,3/31/2024,10/31/2021
SPL,1,3/31/2024,11/30/2021
SPL,1,3/31/2024,12/31/2021
SPL,1,3/31/2024,1/31/2022
SPL,1,3/31/2024,2/28/2022
SPL,1,3/31/2024,3/31/2022
SPL,1,3/31/2024,4/30/2022
SPL,1,3/31/2024,5/31/2022
SPL,1,3/31/2024,6/30/2022
SPL,1,3/31/2024,7/31/2022
SPL,1,3/31/2024,8/31/2022
SPL,1,3/31/2024,9/30/2022
SPL,1,3/31/2024,10/31/2022
SPL,1,3/31/2024,11/30/2022
SPL,1,3/31/2024,12/31/2022
SPL,1,3/31/2024,1/31/2023
SPL,1,3/31/2024,2/28/2023
SPL,1,3/31/2024,3/31/2023
SPL,1,3/31/2024,4/30/2023
SPL,1,3/31/2024,5/31/2023
SPL,1,3/31/2024,6/30/2023
SPL,1,3/31/2024,7/31/2023
SPL,1,3/31/2024,8/31/2023
SPL,1,3/31/2024,9/30/2023
SPL,1,3/31/2024,10/31/2023
SPL,1,3/31/2024,11/30/2023
SPL,1,3/31/2024,12/31/2023
SPL,1,3/31/2024,1/31/2024
SPL,1,3/31/2024,2/29/2024
SPL,1,3/31/2024,3/31/2024
SPL,1,3/31/2024,4/30/2024
SPL,1,3/31/2024,5/31/2024
SPL,1,4/30/2024,6/30/2021
SPL,1,4/30/2024,7/31/2021
SPL,1,4/30/2024,8/31/2021
SPL,1,4/30/2024,9/30/2021
SPL,1,4/30/2024,10/31/2021
SPL,1,4/30/2024,11/30/2021
SPL,1,4/30/2024,12/31/2021
SPL,1,4/30/2024,1/31/2022
SPL,1,4/30/2024,2/28/2022
SPL,1,4/30/2024,3/31/2022
SPL,1,4/30/2024,4/30/2022
SPL,1,4/30/2024,5/31/2022
SPL,1,4/30/2024,6/30/2022
SPL,1,4/30/2024,7/31/2022
SPL,1,4/30/2024,8/31/2022
SPL,1,4/30/2024,9/30/2022
SPL,1,4/30/2024,10/31/2022
SPL,1,4/30/2024,11/30/2022
SPL,1,4/30/2024,12/31/2022
SPL,1,4/30/2024,1/31/2023
SPL,1,4/30/2024,2/28/2023
SPL,1,4/30/2024,3/31/2023
SPL,1,4/30/2024,4/30/2023
SPL,1,4/30/2024,5/31/2023
SPL,1,4/30/2024,6/30/2023
SPL,1,4/30/2024,7/31/2023
SPL,1,4/30/2024,8/31/2023
SPL,1,4/30/2024,9/30/2023
SPL,1,4/30/2024,10/31/2023
SPL,1,4/30/2024,11/30/2023
SPL,1,4/30/2024,12/31/2023
SPL,1,4/30/2024,1/31/2024
SPL,1,4/30/2024,2/29/2024
SPL,1,4/30/2024,3/31/2024
SPL,1,4/30/2024,4/30/2024
SPL,1,4/30/2024,5/31/2024
SPL,1,5/31/2024,6/30/2021
SPL,1,5/31/2024,7/31/2021
SPL,1,5/31/2024,8/31/2021
SPL,1,5/31/2024,9/30/2021
SPL,1,5/31/2024,10/31/2021
SPL,1,5/31/2024,11/30/2021
SPL,1,5/31/2024,12/31/2021
SPL,1,5/31/2024,1/31/2022
SPL,1,5/31/2024,2/28/2022
SPL,1,5/31/2024,3/31/2022
SPL,1,5/31/2024,4/30/2022
SPL,1,5/31/2024,5/31/2022
SPL,1,5/31/2024,6/30/2022
SPL,1,5/31/2024,7/31/2022
SPL,1,5/31/2024,8/31/2022
SPL,1,5/31/2024,9/30/2022
SPL,1,5/31/2024,10/31/2022
SPL,1,5/31/2024,11/30/2022
SPL,1,5/31/2024,12/31/2022
SPL,1,5/31/2024,1/31/2023
SPL,1,5/31/2024,2/28/2023
SPL,1,5/31/2024,3/31/2023
SPL,1,5/31/2024,4/30/2023
SPL,1,5/31/2024,5/31/2023
SPL,1,5/31/2024,6/30/2023
SPL,1,5/31/2024,7/31/2023
SPL,1,5/31/2024,8/31/2023
SPL,1,5/31/2024,9/30/2023
SPL,1,5/31/2024,10/31/2023
SPL,1,5/31/2024,11/30/2023
SPL,1,5/31/2024,12/31/2023
SPL,1,5/31/2024,1/31/2024
SPL,1,5/31/2024,2/29/2024
SPL,1,5/31/2024,3/31/2024
SPL,1,5/31/2024,4/30/2024
SPL,1,5/31/2024,5/31/2024
SPL,3,6/30/2021,6/30/2021
SPL,3,6/30/2021,7/31/2021
SPL,3,6/30/2021,8/31/2021
SPL,3,6/30/2021,9/30/2021
SPL,3,6/30/2021,10/31/2021
SPL,3,6/30/2021,11/30/2021
SPL,3,6/30/2021,12/31/2021
SPL,3,6/30/2021,1/31/2022
SPL,3,6/30/2021,2/28/2022
SPL,3,6/30/2021,3/31/2022
SPL,3,6/30/2021,4/30/2022
SPL,3,6/30/2021,5/31/2022
SPL,3,6/30/2021,6/30/2022
SPL,3,6/30/2021,7/31/2022
SPL,3,6/30/2021,8/31/2022
SPL,3,6/30/2021,9/30/2022
SPL,3,6/30/2021,10/31/2022
SPL,3,6/30/2021,11/30/2022
SPL,3,6/30/2021,12/31/2022
SPL,3,6/30/2021,1/31/2023
SPL,3,6/30/2021,2/28/2023
SPL,3,6/30/2021,3/31/2023
SPL,3,6/30/2021,4/30/2023
SPL,3,6/30/2021,5/31/2023
SPL,3,6/30/2021,6/30/2023
SPL,3,6/30/2021,7/31/2023
SPL,3,6/30/2021,8/31/2023
SPL,3,6/30/2021,9/30/2023
SPL,3,6/30/2021,10/31/2023
SPL,3,6/30/2021,11/30/2023
SPL,3,6/30/2021,12/31/2023
SPL,3,6/30/2021,1/31/2024
SPL,3,6/30/2021,2/29/2024
SPL,3,6/30/2021,3/31/2024
SPL,3,6/30/2021,4/30/2024
SPL,3,6/30/2021,5/31/2024
SPL,3,7/31/2021,6/30/2021
SPL,3,7/31/2021,7/31/2021
SPL,3,7/31/2021,8/31/2021
SPL,3,7/31/2021,9/30/2021
SPL,3,7/31/2021,10/31/2021
SPL,3,7/31/2021,11/30/2021
SPL,3,7/31/2021,12/31/2021
SPL,3,7/31/2021,1/31/2022
SPL,3,7/31/2021,2/28/2022
SPL,3,7/31/2021,3/31/2022
SPL,3,7/31/2021,4/30/2022
SPL,3,7/31/2021,5/31/2022
SPL,3,7/31/2021,6/30/2022
SPL,3,7/31/2021,7/31/2022
SPL,3,7/31/2021,8/31/2022
SPL,3,7/31/2021,9/30/2022
SPL,3,7/31/2021,10/31/2022
SPL,3,7/31/2021,11/30/2022
SPL,3,7/31/2021,12/31/2022
SPL,3,7/31/2021,1/31/2023
SPL,3,7/31/2021,2/28/2023
SPL,3,7/31/2021,3/31/2023
SPL,3,7/31/2021,4/30/2023
SPL,3,7/31/2021,5/31/2023
SPL,3,7/31/2021,6/30/2023
SPL,3,7/31/2021,7/31/2023
SPL,3,7/31/2021,8/31/2023
SPL,3,7/31/2021,9/30/2023
SPL,3,7/31/2021,10/31/2023
SPL,3,7/31/2021,11/30/2023
SPL,3,7/31/2021,12/31/2023
SPL,3,7/31/2021,1/31/2024
SPL,3,7/31/2021,2/29/2024
SPL,3,7/31/2021,3/31/2024
SPL,3,7/31/2021,4/30/2024
SPL,3,7/31/2021,5/31/2024
SPL,3,8/31/2021,6/30/2021
SPL,3,8/31/2021,7/31/2021
SPL,3,8/31/2021,8/31/2021
SPL,3,8/31/2021,9/30/2021
SPL,3,8/31/2021,10/31/2021
SPL,3,8/31/2021,11/30/2021
SPL,3,8/31/2021,12/31/2021
SPL,3,8/31/2021,1/31/2022
SPL,3,8/31/2021,2/28/2022
SPL,3,8/31/2021,3/31/2022
SPL,3,8/31/2021,4/30/2022
SPL,3,8/31/2021,5/31/2022
SPL,3,8/31/2021,6/30/2022
SPL,3,8/31/2021,7/31/2022
SPL,3,8/31/2021,8/31/2022
SPL,3,8/31/2021,9/30/2022
SPL,3,8/31/2021,10/31/2022
SPL,3,8/31/2021,11/30/2022
SPL,3,8/31/2021,12/31/2022
SPL,3,8/31/2021,1/31/2023
SPL,3,8/31/2021,2/28/2023
SPL,3,8/31/2021,3/31/2023
SPL,3,8/31/2021,4/30/2023
SPL,3,8/31/2021,5/31/2023
SPL,3,8/31/2021,6/30/2023
SPL,3,8/31/2021,7/31/2023
SPL,3,8/31/2021,8/31/2023
